"pppoe_username","isolation_date"
"EFFENDI@PG","2026-07-15"
"YUYUN@HARMONI2","2026-07-18"
"FAIZAH@KESATRIAN","2026-07-12"
"MARIO@JENGGOT","2026-07-27"
"SAIFUL@ANGSANA2","2026-07-16"
"JAYA@CIPUTRI","2026-07-22"
"SYAHPUTRA@KEPUH","2026-07-23"
"WAYAN@PG","2026-07-10"
"WULANDARI@CIBELUT","2026-07-27"
"BUDI@GANTERAN","2026-07-16"
"MAWAR@ANGSANA1","2026-07-17"
"LILIS@SINDANGJAYA","2026-07-21"
"ASMARA@KEBAROSAN","2026-07-14"
"ERLINA@TONJONG","2026-07-19"
"RAHAYU@ANGSANA","2026-07-11"
"AGUSTIN@PIK","2026-07-22"
"SYAIFUL@DELTAALI","2026-07-23"
"BAYU@KALIPANGPANG","2026-07-11"
"ANIK@PIKDELTA","2026-07-09"
"PRAMONO@PIK","2026-07-08"
"YANU@PAMENGKANG","2026-07-21"
"PALUPI@KALIPANGPANG","2026-07-18"
"HIKMAH@JAMBLANG","2026-07-24"
"NILA@KASUBAN","2026-07-11"
"RAMADHAN@SINDANGJAYA","2026-07-27"
"FARAH@KELUNCING","2026-07-21"
"KUSUMASTUTI@TERATE","2026-07-16"
"BAHRI@KEBASIRAN","2026-07-14"
"HUSNA@ANGSANA1","2026-07-21"
"SANTY@GIRILAYA","2026-07-20"
"AZHARI@KASUBAN","2026-07-27"
"SURYADI@DELTAALI","2026-07-13"
"DIKA@CANGKRING","2026-07-11"
"DHANI@KEDUNGCINDE","2026-07-11"
"SEPTIANI@KROYA","2026-07-25"
"MIRZA@PG","2026-07-16"
"RAKA@LAMONGAN","2026-07-12"
"MELATI@Pai2","2026-07-22"
"SODIK@CENGKOK","2026-07-27"
"DANI@CIBELUT","2026-07-13"
"ERLINA@CABLAS","2026-07-14"
"FEBRIANTI@CABLAS","2026-07-09"
"NANA@ANGSANA","2026-07-08"
"MUCHAMAD@ANGSANA","2026-07-20"
"SOLEH@CILIA","2026-07-27"
"PRADANA@BTM","2026-07-22"
"RICKY@KROYA","2026-07-09"
"DHANY@KIJAUD","2026-07-15"
"DIAN@KEPUH","2026-07-25"
"YUNUS@LAMONGAN","2026-07-26"
"POPPY@GEMPOL","2026-07-09"
"RUSMANA@ANGSOKA","2026-07-18"
"YOSUA@CIKEDUNG","2026-07-18"
"INDRIANI@PURIDELTA","2026-07-09"
"NORMA@CENGKOK","2026-07-09"
"MAULANA@SINDANGJAYA","2026-07-26"
"SHINTA@KEBASIRAN","2026-07-12"
"MARTHA@SAWAHLUHUR","2026-07-19"
"INDRIANI@CIBELUT","2026-07-24"
"SEPTIAN@CIBELUT","2026-07-14"
"SUBANDI@KEBAROSAN","2026-07-09"
"YOGI@CENGKOK","2026-07-22"
"KHAIRUNNISA@TERATE","2026-07-22"
"ANIS@TEGALDUREN","2026-07-18"
"RATRI@KARANGANYAR","2026-07-10"
"OKTAVIANI@SAWAHLUHUR","2026-07-10"
"CAROLINA@HARMONI2","2026-07-19"
"MILA@KESATRIAN","2026-07-22"
"MAGDALENA@TONJONG","2026-07-17"
"ERNAWATI@CABLAS","2026-07-14"
"RATNASARI@GEMPOL","2026-07-27"
"SUHADA@DELTAALI","2026-07-21"
"ARISTA@ANGSANA2","2026-07-21"
"JAJANG1@PG","2026-07-27"
"ANANG@DELTA","2026-07-19"
"MEGAWATI@JAMBLANG","2026-07-28"
"FRANSISCA@TEGALDUREN","2026-07-21"
"RIZKI@ANGSANA2","2026-07-21"
"PRIYO@ans.net","2026-07-19"
"SANTI@TEGALDUREN","2026-07-24"
"FIKA@CENGKOK","2026-07-13"
"APRIYANI@PAMENGKANG","2026-07-17"
"DAVIN@PG","2026-07-14"
"RANI@CILIA","2026-07-25"
"ASMARA@SINDANGJAYA","2026-07-24"
"MARISSA@SUKAMANDI","2026-07-19"
"ANDRI@CABLAS","2026-07-21"
"SETO@ANGSANA1","2026-07-26"
"MARINI@KASUBAN","2026-07-14"
"FAUZI@CIBELUT","2026-07-23"
"DIANA@CABLAS","2026-07-16"
"LUBIS@KASUBAN","2026-07-21"
"DIDIK@BTM","2026-07-16"
"MARISSA@KEPUH","2026-07-25"
"APRIYANI@JAMBLANG","2026-07-18"
"ASRI@GANTERAN","2026-07-17"
"HUSAIN@KIJAUD","2026-07-19"
"HANDAYANI@CENGKOK","2026-07-15"
"PALUPI1@SQUATER","2026-07-16"
"INDRI@TERATE","2026-07-10"
"ULIL@KASUBAN","2026-07-08"
"AULIA@JENGGOT","2026-07-21"
"TIO@KALIPANGPANG","2026-07-25"
"FANI@KIJAUD","2026-07-13"
"IMAN@LENGKONG","2026-07-18"
"EMY@LENGKONG","2026-07-25"
"SITTI@SQUATER","2026-07-22"
"ARISTA@SUKAMANDI","2026-07-08"
"RIKA@JAMBLANG","2026-07-15"
"JANI@PADEK","2026-07-08"
"MUTIARA@CENGKOK","2026-07-27"
"MANDASARI@KARANGANYAR","2026-07-23"
"DEASY@CIBELUT","2026-07-23"
"SUNARYA@PIK","2026-07-26"
"FADLI@SAWAHLUHUR","2026-07-25"
"NUGRAHENI@ambon","2026-07-23"
"NAILAH@ANGSANA2","2026-07-10"
"ALFIAN@ANGSANA1","2026-07-09"
"AMINAH@GIRILAYA","2026-07-12"
"SYARIFAH@CILIA","2026-07-22"
"AFRIZAL@TERATE","2026-07-27"
"NOVIANI@KEDUNGCINDE","2026-07-09"
"TANTO@ANGSOKA","2026-07-16"
"FENNY@GEMPOL","2026-07-10"
"MUH.@KALIPANGPANG","2026-07-28"
"MUTTAQIN@PEGADINGAN","2026-07-26"
"SALMA@TEGALDUREN","2026-07-22"
"SUHARSONO@BTM","2026-07-26"
"ARIA@CABLAS","2026-07-11"
"GISELA@KIJAUD","2026-07-21"
